CITY_STATE,COUNTY
"BALTIMORE, MD",BALTIMORE CITY
"WHITEFACE, TX",COCHRAN
"CAHOKIA, IL",ST. CLAIR
"WOODINVILLE, WA",KING
"WESTMINSTER, CA",ORANGE
"RENSSELAER, NY",RENSSELAER
"Mont Belvieu, TX",CHAMBERS
"TULSA, OK",TULSA
"RANCHO CUCAMONGA, CA",SAN BERNARDINO
"BELLE ROSE, CA",PLUMAS
"HAMMOND, IN",LAKE
"VISALIA, CA",TULARE
"PENDLETON, OR",UMATILLA
"ARTESIA, NM",EDDY
"ANTON, TX",HOCKLEY
"SPARKS, NV",WASHOE
"GREENEVILLE, TN",GREENE
"CANADIAN, OK",PITTSBURG
"RAMBERG, ND",NA
"MOUNT PROSPECT, IL",HANCOCK
"NEW BEDFORD, MA",BRISTOL
"HAWLEY, TX",JONES
"KENMORE, WA",KING
"DEL RIO, TX",VAL VERDE
"FALLS CITY, TX",KARNES
"JENNINGS, LA",JEFFERSON DAVIS
"NORTH CANTON, OH",STARK
"MCCAMEY, TX",UPTON
"BUSHTON, KS",RICE
"CHATTANOOGA, TN",HAMILTON
"SWEENY, TX",BRAZORIA
"GRAFORD, TX",PALO PINTO
"COTATI, CA",SONOMA
"KROTZ SPRINGS, LA",ST. LANDRY
"DELAWARE CITY, DE",NEW CASTLE
"NEDERLAND, TX",JEFFERSON
"RICHMOND, VA",RICHMOND CITY
"VENICE, LA",PLAQUEMINES
"DANA POINT, CA",ORANGE
"WASSON, TX",HALE
"EDISON, NJ",MIDDLESEX
"STOCKTON, IL",JO DAVIESS
"PANAMA CITY, FL",BAY
"CARTERET, NJ",MIDDLESEX
"BROOKLINE, MO",GREENE
"OMAK, WA",OKANOGAN
"MOGADORE, OH",SUMMIT
"SOUTH BEND, WA",PACIFIC
"rodeo, CA",CONTRA COSTA
"MENA, AR",POLK
"DAGGETT, CA",SAN BERNARDINO
"MINOT, ND",WARD
"ALAMOSA, CO",ALAMOSA
"UTICA, NY",ONEIDA
"HIGHLANDS RANCH, CO",DOUGLAS
"SALEM, IL",MARION
"Grand Junction, CO",MESA
"BARNSDALL, OK",OSAGE
"ENID, OK",OKLAHOMA
"ALTA LOMA, CA",SAN BERNARDINO
"ARROYO GRANDE, CA",SAN LUIS OBISPO
"HOLBROOK, AZ",NAVAJO
"GREENVILLE, IL",BOND
"LUBBOCK, TX",LUBBOCK
"CARTER LAKE, IA",POTTAWATTAMIE
"FLANAGAN, TX",NA
"CARLYLE, IL",CLINTON
"CARSON, TX",FANNIN
"HELENA STATION, TX",NA
"ALHAMBRA, CA",LOS ANGELES
"Englewood, CO",ARAPAHOE
"RONKONKOMA, NY",SUFFOLK
"SAN MARCOS, CO",GUNNISON
"GRESHAM, OR",MULTNOMAH
"LOCO HILLS, NM",EDDY
"EUNICE, LA",ST. LANDRY
"BEAUMONT, TX",JEFFERSON
"FEDERAL WAY, WA",KING
"ALBANY, GA",DOUGHERTY
"LAUREL, MT",YELLOWSTONE
"LA PORTE, TX",HARRIS
"MONUMENT, CO",EL PASO
"HOUSTON,  ",HARRIS
"DELTA, UT",MILLARD
"EL DORADO, KS",BUTLER
"EPPING, ND",WILLIAMS
"HELENA, MT",LEWIS AND CLARK
"IMPERIAL, CA",IMPERIAL
"WILDOMAR, CA",RIVERSIDE
"GOLDEN, CO",JEFFERSON
"WILLISTON, ND",WILLIAMS
"ORLANDO, OK",LOGAN
"COVINGTON, KY",KENTON
"BELLAIRE, TX",HARRIS
"ZIONSVILLE, IN",BOONE
"Aberdeen, SD",BROWN
"PIERRE PART, LA",ASSUMPTION
"VENICE, IL",MADISON
"NORTH LITTLE ROCK, AR",PULASKI
"BURBANK, CA",LOS ANGELES
"WEST SPRINGFIELD, MA",HAMPDEN
"SANTA ANA, CA",ORANGE
"LOGAN, UT",CACHE
"SPOKANE, WA",SPOKANE
"MARYSVILLE, WA",SNOHOMISH
"PORT ORCHARD, WA",KITSAP
"PHELAN, CA",SAN BERNARDINO
"SORRENTO, LA",ASCENSION
"PAOLA, KS",MIAMI
"NORWALK, CA",LOS ANGELES
"SIDNEY, NE",CHEYENNE
"NORTHRIDGE, CA",LOS ANGELES
"GRAPEVINE, TX",TARRANT
"SUNSHINE, LA",NA
"KAMAY, TX",WICHITA
"TUMWATER, WA",THURSTON
"SANFORD, FL",SEMINOLE
"HAYS, KS",ELLIS
"ANDALUSIA, AL",COVINGTON
"JANESVILLE, WI",ROCK
"UNION, NJ",UNION
"ABERNATHY, TX",HALE
"MUNCIE, IN",DELAWARE
"LONGMONT, CO",BOULDER
"WADDELL, TX",GRIMES
"PATOKA, IL",MARION
"LONG BEACH, CA",LOS ANGELES
"ALEXANDRIA, LA",RAPIDES
"KING, WA",KING
"ARLINGTON HEIGHTS, IL",COOK
"SANTA MARIA, CA",SANTA BARBARA
"OWENSBORO, KY",DAVIESS
"NORRIS CITY, IL",WHITE
"WEEMS, TX",WINKLER
"BEST, TX",REAGAN
"PHILLIPSBURG, KS",PHILLIPS
"UPTON, TX",BASTROP
"MILLINGTON, TN",SHELBY
"THIBODAUX, LA",LAFOURCHE
"DEARBORN, MI",WAYNE
"WEST COLUMBIA, SC",LEXINGTON
"SIMI VALLEY, CA",VENTURA
"UMATILLA, OR",UMATILLA
"FORT MYERS, FL",MIAMI-DADE
"DYERSVILLE, IA",DUBUQUE
"PORT LAVACA, TX",CALHOUN
"GILLESPIE, IL",MACOUPIN
"WEST LEBANON, NH",GRAFTON
"BORGER, TX",HUTCHINSON
"Bartlesville, OK",WASHINGTON
"north salt lake, UT",DAVIS
"BURLINGTON, VT",CHITTENDEN
"CONWAY, KS",MCPHERSON
"MERIDIAN, MS",LAUDERDALE
"SALT LAKE CITY, UT",SALT LAKE
"ALEXANDRIA, MN",DOUGLAS
"STAPLETON, NY",RICHMOND
"Crockett, CA",CONTRA COSTA
"MCKITTRICK, CA",KERN
"OSTRICA, LA",NA
"KENT, WA",KING
"REDMOND, OR",DESCHUTES
"GRAND RAPIDS, MI",KENT
"STAMPEDE, ND",BURKE
"STATESBORO, GA",BULLOCH
"TENINO, TX",MONTGOMERY
"SAN JOSE, CA",SANTA CLARA
"GLENDORA, CA",LOS ANGELES
"BANKS, OR",WASHINGTON
"SANDY, TX",BLANCO
"WINDSOR, CO",WELD
"MOUNT PLEASANT, TX",CHAMBERS
"SILVERDALE, ME",PENOBSCOT
"SAN MATEO, CA",SAN MATEO
"MONTROSE, CO",MONTROSE
"TOLEDO, OR",LINCOLN
"MARTINEZ, CA",CONTRA COSTA
"LAKE ELSINORE, CA",RIVERSIDE
"CENTER, TX",SHELBY
"DEER PARK, TX",HARRIS
"BRISBANE, CA",SAN MATEO
"GALVESTON, TX",GALVESTON
"SARASOTA, FL",SARASOTA
"WASKOM, TX",HARRISON
"HOMESTEAD, FL",MIAMI-DADE
"VENTURA, CA",VENTURA
"ST JAMES, LA",NA
"PERTH AMBOY, NJ",MIDDLESEX
"NEWBERG, OR",YAMHILL
"BELL, CA",LOS ANGELES
"TYLER, TX",SMITH
"SATICOY, CA",VENTURA
"HOLDREGE, NE",PHELPS
"SALT CREEK, TX",MCCULLOCH
"Raton, NM",COLFAX
"SANFORD, ME",YORK
"RINGWOOD, OK",MAJOR
"LEA COUNTY, NM",SOCORRO
"BRETON, LA",ASCENSION
"Roxana, IL",MADISON
"BROWNSVILLE, TX",CAMERON
"GOODLAND, KS",SHERMAN
"NORTH CLARENDON, VT",RUTLAND
"CHAMBERS, TX",CHAMBERS
"FORT MADISON, IA",LOUISA
"WICHITA, KS",SEDGWICK
"FLANAGAN, IL",LIVINGSTON
"JONES CREEK, TX",BRAZORIA
"PORTALES, NM",ROOSEVELT
"GRAND JUNCTION, CO",MESA
"Americus, GA",SUMTER
"BATTLE MOUNTAIN, NV",LANDER
"CEDAR CREEK, TX",BASTROP
"BENTON, IL",FRANKLIN
"BERTHOLD, ND",WARD
"STANTON, CA",ORANGE
"LITTLE ROCK, AR",PULASKI
"VICKSBURG, MS",WARREN
"ROCKLIN, CA",PLACER
"HENDERSON, KY",HENDERSON
"BLOUNTVILLE, TN",SULLIVAN
"LA HABRA, CA",ORANGE
"SPARTANBURG, SC",SPARTANBURG
"Delta, CO",DELTA
"KNOXVILLE, TN",KNOX
"ANDREWS, TX",ANDREWS
"WESTMINSTER, CO",BROOMFIELD
"FORSYTH, IL",MACON
"BROOKLYN, NY",KINGS
"ROXANA, IL",MADISON
"ARCHER CITY, TX",ARCHER
"HARVEY, LA",JEFFERSON
"REDMOND, WA",KING
"GREENWOOD VILLAGE, CO",ARAPAHOE
"SCOTT CITY, MO",SCOTT
"OAKVILLE, TX",LIVE OAK
"BAYTOWN, TX",HARRIS
"DINERO, TX",LIVE OAK
"EL MONTE, CA",LOS ANGELES
"Moultrie, GA",COLQUITT
"TERREBONNE, LA",TERREBONNE
"WEATHERFORD, TX",PARKER
"BRECKENRIDGE, TX",STEPHENS
"GALLUP, NM",MCKINLEY
"THOMSON, GA",MCDUFFIE
"SOUTH GATE, CA",LOS ANGELES
"MALVERN, PA",CHESTER
"HOUSTON, CA",CONTRA COSTA
"BARTLESVILE, OK",WASHINGTON
"THOROFARE, NJ",GLOUCESTER
"SAN LORENZO, CO",NA
"HONOLULU, HI",HONOLULU
"RENTON, WA",KING
"Burlington, CO",KIT CARSON
"CRANE, TX",CRANE
"EMMAUS, PA",LEHIGH
"ANTELOPE, CA",NA
"sweeny, TX",BRAZORIA
"FONTANA, CA",SAN BERNARDINO
"Bethlehem, PA",NORTHAMPTON
"OPA LOCKA, FL",MIAMI-DADE
"RIVERSIDE, CA",RIVERSIDE
"CHICAGO, IL",COOK
"HOCKLEY, TX",HARRIS
"BLAIR, NE",WASHINGTON
"HENDERSON, CO",ADAMS
"IDAHO SPRINGS, CO",CLEAR CREEK
"ALEXANDER, ND",MCKENZIE
"HARDIN, MT",BIG HORN
"WEST MEMPHIS, AR",CRITTENDEN
"PORTAGE, MI",KALAMAZOO
"CASTLE ROCK, CO",DOUGLAS
"SARALAND, AL",MOBILE
"STANLEY, ND",MOUNTRAIL
"SCOTTSBLUFF, NE",SCOTTS BLUFF
"PERRIS, CA",RIVERSIDE
"ROSEMOUNT, MN",DAKOTA
"LA CANADA FLINTRIDGE, CA",LOS ANGELES
"DAYTON, OH",MONTGOMERY
"PEARLAND, TX",BRAZORIA
"MORENO VALLEY, CA",RIVERSIDE
"EAST ST LOUIS, IL",ST. CLAIR
"EYOTA, MN",OLMSTED
"NORTH CHARLESTON, SC",DORCHESTER
"PASADENA, TX",HARRIS
"NEW WINDSOR, NY",ORANGE
"SAN DIEGO, CA",SAN DIEGO
"VICTORVILLE, CA",SAN BERNARDINO
"OLD OCEAN, TX",BRAZORIA
"NATCHEZ, MS",ADAMS
"LAFAYETTE, CO",BOULDER
"DEL CITY, OK",OKLAHOMA
"GUNS UP, TX",COOKE
"CITY OF INDUSTRY, CA",NA
"BUDA, TX",HAYS
"BURLEY, ID",CASSIA
"PENSACOLA, FL",ESCAMBIA
"LAKEWOOD, CO",JEFFERSON
"SEABROOK, TX",HARRIS
"BURBANK, OK",OSAGE
"BRYANT, AR",SALINE
"MESA, AZ",MARICOPA
"Charlotte, NC",MECKLENBURG
"SANDHILLS FIELD, TX",MARION
"DICKINSON, TX",GALVESTON
"SWANTON, OH",FULTON
"Cleveland, OH",CUYAHOGA
"NASHVILLE, AR",HOWARD
"HARTSDALE, IN",LAKE
"LYNCHBURG, VA",LYNCHBURG CITY
"OCEANSIDE, CA",SAN DIEGO
"BATON ROUGE, LA",EAST BATON ROUGE
"Morrow, GA",CLAYTON
"MANISTEE, MI",MANISTEE
"CROSSROAD, NM",MCKINLEY
"SACRAMENTO, CA",SACRAMENTO
"SULPHUR, LA",CALCASIEU
"GUYMON, OK",TEXAS
"CHATSWORTH, CA",NA
"PUEBLO, CO",PUEBLO
"FREMONT, CA",ALAMEDA
"COLUMBIA, MO",BOONE
"BRAZORIA, TX",BRAZORIA
"LYNWOOD, CA",LOS ANGELES
"SAN BERNARDINO, CA",SAN BERNARDINO
"Old Ocean, TX",BRAZORIA
"LONGVIEW, TX",GREGG
"MONROE, WA",SNOHOMISH
"SOUTH TEXAS, TX",MONTGOMERY
"LONGMONT, NC",ASHE
"OKLAHOMA CITY, OK",OKLAHOMA
"CATHEDRAL CITY, CA",RIVERSIDE
"OXNARD, CA",VENTURA
"NEWINGTON, NH",ROCKINGHAM
"SILVERDALE, WA",KITSAP
"Las Animas, CO",BENT
"PENNSAUKEN, NJ",CAMDEN
"GRAHAM, TX",YOUNG
"ORANGE, CA",ORANGE
"SAN RAMON, CA",CONTRA COSTA
"SOUTH PORTLAND, ME",YORK
"SAN ANTONIO, TX",BEXAR
"TAFT, CA",KERN
"PENWELL, TX",ECTOR
"LIBERAL, KS",SEWARD
"NEWBURY PARK, CA",VENTURA
"SMYER, TX",HOCKLEY
"Houston, TX",HARRIS
"GROTON, CT",NEW LONDON
"OAKLAND CITY, IN",GIBSON
"HUNTINGTON BEACH, CA",ORANGE
"CHEHALIS, WA",LEWIS
"CLEARBROOK, MN",CLEARWATER
"MOBILE, AL",MOBILE
"CLEAR LAKE, IA",CERRO GORDO
"GOLETA, CA",SANTA BARBARA
"PRENTICE, TX",LIVE OAK
"GRAND FORKS, ND",GRAND FORKS
"Walsenburg, CO",HUERFANO
"LA MESA, CA",SAN DIEGO
"ESTACADA, OR",CLACKAMAS
"BUCKSPORT, ME",HANCOCK
"SANTA MONICA, CA",LOS ANGELES
"GARDENDALE, TX",LA SALLE
"GLEN AVON, CA",RIVERSIDE
"Rogers, AR",BENTON
"IRVINE, CA",ORANGE
"ADDISON, IL",DUPAGE
"JACKSONVILLE, FL",DUVAL
"CHARLESTON, WV",KANAWHA
"ALBUQUERQUE, NM",BERNALILLO
"CHICOPEE, MA",HAMPDEN
"BELLINGHAM, WA",WHATCOM
"GREAT BEND, KS",BARTON
"VAN NUYS, CA",LOS ANGELES
"SINCLAIR, WY",CARBON
"BAKERSFIELD, CA",KERN
"KERN, CA",KERN
"NEWBURGH, NY",ORANGE
"TUPMAN, CA",KERN
"OGG, OK",TULSA
"SAN JOSE, NY",ONONDAGA
"TURPIN, OK",BEAVER
"HERNDON, VA",FAIRFAX CITY
"SHINGLE SPRINGS, LA",WEBSTER
"POWELL, WY",PARK
"LEMONT, IL",COOK
"BUTTE, MT",SILVER BOW
"GATEWAY, MO",CASS
"WESTLAKE, LA",CALCASIEU
"CHIPPEWA FALLS, WI",CHIPPEWA
"GOLDSMITH, TX",ECTOR
"LAS VEGAS, NV",CLARK
"MILTON, WA",PIERCE
"NEWTON, KS",HARVEY
"BURIEN, WA",KING
"DORAVILLE, GA",DEKALB
"MORRISON, CO",JEFFERSON
"WATFORD CITY, ND",MCKENZIE
"BURKE, ND",MOUNTRAIL
"SAN JOSE, MO",NA
"MECHANICSBURG, PA",CUMBERLAND
"PEACHTREE CITY, GA",FAYETTE
"DES PLAINES, IL",COOK
"PUEBLO WEST, CO",PUEBLO
"ELIZABETH, NJ",UNION
"SILVERDALE, MI",ONTONAGON
"CINCINNATI, OH",HAMILTON
"SUNRAY, TX",MOORE
"SHINER, TX",LAVACA
"PULLMAN, WA",WHITMAN
"WAUSAU, WI",MARATHON
"SALT LAKE  CITY, UT",SALT LAKE
"GUERNSEY, WY",PLATTE
"DES MOINES, IA",POLK
" ,  ",NA
"WEST CHICAGO, IL",DUPAGE
"westlake, LA",CALCASIEU
"SPRINGFIELD, OR",LANE
"WRENSHALL, MN",CARLTON
"FORT WORTH, TX",GILLESPIE
"MONTEREY, CA",MONTEREY
"BELTON, SC",ANDERSON
"COLUMBUS, OH",FRANKLIN
"JENKS, OK",TULSA
"LAKESIDE, CA",SAN DIEGO
"WEST SACRAMENTO, CA",YOLO
"SLAUGHTER, TX",NA
"KINGFISHER, OK",KINGFISHER
"BARNHART, TX",IRION
"OPAL, WY",LINCOLN
"HUNTINGTON, IN",HUNTINGTON
"NILES, MI",BERRIEN
"LEVELLAND, TX",HOCKLEY
"ABILENE, TX",TAYLOR
"NEWARK, NJ",ESSEX
"CATOOSA, OK",ROGERS
"ARGO, IL",COOK
"WATKINS, CO",ADAMS
"JEFFERSON, TX",MARION
"ELK GROVE, CA",SACRAMENTO
"EUREKA, CA",HUMBOLDT
"RIVERHEAD, NY",SUFFOLK
"NIXON, TX",GONZALES
"ODESSA, TX",ECTOR
"MADISON, WI",DANE
"ROCHELLE, IL",OGLE
"ROSEVILLE, CA",PLACER
"LEWISTON, ID",NEZ PERCE
"VERNON, CA",LOS ANGELES
"WALTERBORO, SC",COLLETON
"EL PASO, TX",EL PASO
"LIMA, OH",ALLEN
"SPOKANE, VA",NORTHAMPTON
"OAK HARBOR, WA",ISLAND
"HUTCHINSON, TX",HUTCHINSON
"FERRYSBURG, MI",OTTAWA
"REDDING, CA",SHASTA
"ALTOONA, PA",BLAIR
"SEATTLE, CA",MODOC
"GENEVA, NE",FILLMORE
"BUCKEYE, TX",MATAGORDA
